country,index,onshore wacc,offshore wacc,solar pv wacc
AD,1,,,
AE,2,0.056,0.068,0.056
AF,3,,,
AG,4,,,
AI,5,0.026,0.038,0.02
AL,6,0.08,0.092,0.09
AM,7,,,
AO,8,0.11,0.122,0.1
AR,9,0.138,0.15,0.138
AS,10,0.03,0.042,0.043
AT,11,0.025,0.037,0.034
AU,12,0.029,0.041,0.029
AW,13,0.06,0.072,0.07
AX,14,0.019,0.031,0.048
AZ,15,0.07,0.082,0.07
BA,16,0.105,0.117,0.104
BB,17,0.1,0.112,0.1
BD,18,0.068,0.08,0.068
BE,19,0.035,0.047,0.019
BF,20,0.085,0.097,0.058
BG,21,0.04,0.052,0.048
BH,22,0.08,0.092,0.09
BI,23,,,
BJ,24,0.08,0.092,0.09
BL,25,0.018,0.03,0.018
BM,26,0.05,0.062,0.06
BN,27,0.05,0.062,0.06
BO,28,0.087,0.099,0.087
BQ,29,0.025,0.037,0.014
BR,30,0.049,0.061,0.063
BS,31,0.08,0.092,0.09
BT,32,,,
BV,33,0.045,0.057,0.045
BW,34,0.06,0.072,0.06
BY,35,0.099,0.111,0.099
BZ,36,0.06,0.072,0.08
CA,37,0.03,0.042,0.043
CC,38,0.029,0.041,0.029
CD,39,0.11,0.122,0.1
CF,40,,,
CG,41,0.06,0.072,0.08
CH,42,0.047,0.059,0.017
CI,43,0.07,0.082,0.07
CK,44,0.03,0.042,0.043
CL,45,0.045,0.057,0.035
CM,46,0.08,0.092,0.09
CN,47,0.025,0.037,0.025
CO,48,0.056,0.068,0.056
CR,49,0.056,0.068,0.064
CU,50,0.116,0.128,0.116
CV,51,0.11,0.122,0.1
CW,52,0.025,0.037,0.014
CX,53,0.025,0.037,0.014
CY,54,0.044,0.056,0.049
CZ,55,0.05,0.062,0.04
DE,56,0.013,0.025,0.013
DJ,57,,,
DK,58,0.015,0.027,0.021
DM,59,,,
DO,60,0.071,0.083,0.056
DZ,61,0.114,0.126,0.11
EC,62,0.122,0.134,0.122
EE,63,0.051,0.063,0.051
EG,64,0.088,0.1,0.088
EH,65,,,
ER,66,,,
ES,67,0.031,0.043,0.036
ET,68,0.056,0.068,0.084
FI,69,0.019,0.031,0.048
FJ,70,0.08,0.092,0.09
FK,71,0.026,0.038,0.02
FM,72,,,
FO,73,0.015,0.027,0.021
FR,74,0.018,0.03,0.018
GA,75,0.1,0.112,0.1
GB,76,0.026,0.038,0.02
GD,77,,,
GE,78,0.11,0.122,0.11
GF,79,0.018,0.03,0.018
GG,80,0.026,0.038,0.02
GH,81,0.095,0.107,0.095
GI,82,0.026,0.038,0.02
GL,83,0.015,0.027,0.021
GM,84,0.08,0.092,0.09
GN,85,0.06,0.072,0.08
GP,86,0.018,0.03,0.018
GQ,87,,,
GR,88,0.041,0.053,0.041
GS,89,0.026,0.038,0.02
GT,90,0.063,0.075,0.063
GU,91,0.03,0.042,0.043
GW,92,0.11,0.122,0.1
GY,93,0.06,0.072,0.05
HK,94,0.05,0.062,0.04
HM,95,0.029,0.041,0.029
HN,96,0.06,0.072,0.046
HR,97,0.051,0.063,0.053
HT,98,0.14,0.152,0.14
HU,99,0.037,0.049,0.037
ID,100,0.06,0.072,0.06
IE,101,0.028,0.04,0.055
IL,102,0.05,0.062,0.037
IM,103,0.05,0.062,0.04
IN,104,0.059,0.071,0.059
IO,105,0.026,0.038,0.02
IQ,106,0.096,0.108,0.096
IR,107,,,
IS,108,0.05,0.062,0.06
IT,109,0.033,0.045,0.031
JE,110,0.026,0.038,0.02
JM,111,0.072,0.084,0.072
JO,112,0.082,0.094,0.082
JP,113,0.047,0.059,0.023
KE,114,0.056,0.068,0.084
KG,115,0.11,0.122,0.1
KH,116,0.08,0.092,0.09
KI,117,,,
KM,118,,,
KN,119,,,
KP,120,,,
KR,121,,,
KW,122,0.053,0.065,0.053
KY,123,0.05,0.062,0.04
KZ,124,,,
LA,125,,,
LB,126,0.21,0.222,0.21
LC,127,,,
LI,128,0.05,0.062,0.05
LK,129,0.103,0.115,0.103
LR,130,0.06,0.072,0.08
LS,131,,,
LT,132,0.026,0.038,0.057
LU,133,0.031,0.043,0.031
LV,134,0.055,0.067,0.055
LY,135,0.11,0.122,0.11
MA,136,0.061,0.073,0.067
MC,137,,,
MD,138,0.11,0.122,0.1
ME,139,0.056,0.068,0.088
MF,140,0.018,0.03,0.018
MG,141,0.11,0.122,0.1
MH,142,0.03,0.042,0.043
MK,143,0.07,0.082,0.07
ML,144,0.06,0.072,0.08
MM,145,0.095,0.107,0.095
MN,146,0.067,0.079,0.08
MO,147,0.05,0.062,0.04
MP,148,0.03,0.042,0.043
MQ,149,0.018,0.03,0.018
MR,150,,,
MS,151,0.06,0.072,0.06
MT,152,0.047,0.059,0.018
MU,153,0.06,0.072,0.046
MV,154,0.1,0.112,0.1
MW,155,0.14,0.152,0.14
MX,156,0.036,0.048,0.072
MY,157,0.054,0.066,0.054
MZ,158,0.06,0.072,0.08
NA,159,0.069,0.081,0.042
NC,160,0.018,0.03,0.018
NE,161,0.11,0.122,0.1
NF,162,0.029,0.041,0.029
NG,163,0.11,0.122,0.1
NI,164,0.063,0.075,0.092
NL,165,0.025,0.037,0.014
NO,166,0.045,0.057,0.045
NP,167,,,
NR,168,,,
NU,169,,,
NZ,170,0.03,0.042,0.043
OM,171,0.04,0.052,0.04
PA,172,0.043,0.055,0.043
PE,173,0.052,0.064,0.052
PF,174,0.018,0.03,0.018
PG,175,0.08,0.092,0.09
PH,176,0.057,0.069,0.057
PK,177,0.092,0.104,0.092
PL,178,0.033,0.045,0.039
PM,179,0.018,0.03,0.018
PN,180,0.026,0.038,0.02
PR,181,0.03,0.042,0.043
PS,182,,,
PT,183,0.032,0.044,0.042
PW,184,,,
PY,185,0.07,0.082,0.07
QA,186,0.05,0.062,0.04
RE,187,0.018,0.03,0.018
RO,188,0.057,0.069,0.051
RS,189,0.11,0.122,0.11
RU,190,0.063,0.075,0.063
RW,191,0.084,0.096,0.056
SA,192,0.062,0.074,0.062
SB,193,0.1,0.112,0.1
SC,194,,,
SD,195,0.21,0.222,0.21
SE,196,0.035,0.047,0.032
SG,197,0.046,0.058,0.046
SH,198,0.026,0.038,0.02
SI,199,0.055,0.067,0.042
SJ,200,0.045,0.057,0.045
SK,201,0.052,0.064,0.038
SL,202,0.14,0.152,0.14
SM,203,,,
SN,204,0.07,0.082,0.043
SO,205,0.14,0.152,0.14
SR,206,0.12,0.132,0.12
SS,207,,,
ST,208,,,
SV,209,0.092,0.104,0.063
SX,210,0.025,0.037,0.014
SY,211,0.21,0.222,0.21
SZ,212,0.11,0.122,0.1
TC,213,0.06,0.072,0.05
TD,214,,,
TF,215,0.018,0.03,0.018
TG,216,0.11,0.122,0.1
TH,217,0.058,0.07,0.045
TJ,218,0.11,0.122,0.1
TK,219,,,
TL,220,,,
TM,221,,,
TN,222,0.093,0.105,0.093
TO,223,,,
TR,224,0.075,0.087,0.075
TT,225,0.11,0.122,0.11
TV,226,,,
TW,227,0.05,0.062,0.037
TZ,228,0.08,0.092,0.09
UA,229,0.099,0.111,0.099
UG,230,0.084,0.096,0.069
UM,231,0.03,0.042,0.043
US,232,0.03,0.042,0.043
UY,233,0.03,0.042,0.042
UZ,234,0.08,0.092,0.09
VA,235,,,
VC,236,,,
VE,237,0.21,0.222,0.21
VG,238,0.026,0.038,0.02
VI,239,0.03,0.042,0.043
VN,240,0.051,0.063,
VU,241,,,
WF,242,0.018,0.03,0.018
WS,243,,,
XK,244,0.11,0.122,0.11
XX,245,0.075,0.087,0.075
YE,246,0.206,0.218,0.172
YT,247,0.018,0.03,0.018
ZA,248,0.066,0.078,0.052
ZM,249,0.14,0.152,0.14
ZW,250,0.1,0.112,0.1
